# Daily size of the VibeBrowser waitlist (Brevo list 3), one row per UTC day.
# Written by scripts/snapshot-waitlist-count.js via .github/workflows/waitlist-snapshot.yml.
#
# CAVEAT: this series is only honest from 2026-08-05 forward. The 402 contacts
# migrated into Brevo on 2026-08-05 all carry that migration date rather than
# their real signup date, so nothing before 2026-08-05 can be reconstructed and
# the first row is a standing balance, not a day of growth.
date,total_subscribers,blacklisted
2026-08-06,407,0
2026-08-07,408,0
2026-08-08,408,0
2026-08-09,408,0
2026-08-10,408,0
2026-08-11,408,0
2026-08-14,408,0
2026-08-15,408,0
2026-08-16,408,0
2026-08-17,408,0
2026-08-18,408,0
2026-08-19,408,0
2026-08-20,408,0
2026-08-21,408,0
2026-08-22,409,0
2026-08-23,409,0
2026-08-24,409,0
2026-08-25,409,0
2026-08-26,409,0
2026-08-27,409,0
2026-08-28,409,0
2026-08-29,409,0
